feature,coefficient,importance
deflated,-0.21294022825969391,0.21294022825969391
look deflated,-0.21294022825969391,0.21294022825969391
loose look,-0.21294022825969391,0.21294022825969391
look highly,0.21258054877025925,0.21258054877025925
recommended buy,0.21258054877025925,0.21258054877025925
premium look,0.21258054877025925,0.21258054877025925
shirt,0.21243164698700756,0.21243164698700756
walking shoe,0.21240087427867532,0.21240087427867532
shoe snug,0.21240087427867532,0.21240087427867532
comfortable light,0.21240087427867532,0.21240087427867532
snug fit,0.21240087427867532,0.21240087427867532
fit comfortable,0.21240087427867532,0.21240087427867532
walking,0.21240087427867532,0.21240087427867532
excellent walking,0.21240087427867532,0.21240087427867532
terrible fit,-0.210696457602119,0.210696457602119
fit uncomfortable,-0.210696457602119,0.210696457602119
everywhere,-0.210696457602119,0.210696457602119
uncomfortable fabric,-0.210696457602119,0.210696457602119
thread everywhere,-0.210696457602119,0.210696457602119
comfortably happy,0.21029290996503214,0.21029290996503214
beautiful design,0.21029290996503214,0.21029290996503214
design fit,0.21029290996503214,0.21029290996503214
happy product,0.21029290996503214,0.21029290996503214
happy,0.21029290996503214,0.21029290996503214
ever soft,0.210004096734916,0.210004096734916
best purchase,0.210004096734916,0.210004096734916
purchase ever,0.210004096734916,0.210004096734916
fit snug,0.210004096734916,0.210004096734916
jacket,0.20927127065859064,0.20927127065859064
stylish clean,0.20811396602524307,0.20811396602524307
look outstanding,0.20753208402920717,0.20753208402920717
love texture,0.20753208402920717,0.20753208402920717
texture superb,0.20753208402920717,0.20753208402920717
superb build,0.20753208402920717,0.20753208402920717
ever glass,-0.20724066743146272,0.20724066743146272
worst watch,-0.20724066743146272,0.20724066743146272
scratched,-0.20724066743146272,0.20724066743146272
scratched instantly,-0.20724066743146272,0.20724066743146272
instantly feel,-0.20724066743146272,0.20724066743146272
glass scratched,-0.20724066743146272,0.20724066743146272
feel flimsy,-0.20724066743146272,0.20724066743146272
instantly,-0.20724066743146272,0.20724066743146272
watch ever,-0.20724066743146272,0.20724066743146272
glass,-0.20724066743146272,0.20724066743146272
great value,0.20637980418228538,0.20637980418228538
value quality,0.20637980418228538,0.20637980418228538
snugly look,0.20637980418228538,0.20637980418228538
look smart,0.20637980418228538,0.20637980418228538
polo fit,0.20637980418228538,0.20637980418228538
extremely premium,0.205250444861867,0.205250444861867
perfectly fabric,0.205250444861867,0.205250444861867
jacket fit,0.205250444861867,0.205250444861867
premium highly,0.205250444861867,0.205250444861867
plastic frame,-0.20495248271260302,0.20495248271260302
worst sunglass,-0.20495248271260302,0.20495248271260302
loose screw,-0.20495248271260302,0.20495248271260302
screw,-0.20495248271260302,0.20495248271260302
screw cheap,-0.20495248271260302,0.20495248271260302
sunglass loose,-0.20495248271260302,0.20495248271260302
soft breathable,0.2027427742504037,0.2027427742504037
perfect material,0.2027427742504037,0.2027427742504037
outstanding product,0.2027427742504037,0.2027427742504037
product fit,0.2027427742504037,0.2027427742504037
material soft,0.2027427742504037,0.2027427742504037
quality comfy,0.20188949932907482,0.20188949932907482
excellent build,0.20188949932907482,0.20188949932907482
style comfort,0.20188949932907482,0.20188949932907482
style,0.20188949932907482,0.20188949932907482
love style,0.20188949932907482,0.20188949932907482
comfort excellent,0.20188949932907482,0.20188949932907482
texture,0.2015973237441158,0.2015973237441158
cotton polo,0.20097259160764291,0.20097259160764291
purchase,0.19964750151730165,0.19964750151730165
winter jacket,0.19883280661446773,0.19883280661446773
insulation highly,0.19883280661446773,0.19883280661446773
highly durable,0.19883280661446773,0.19883280661446773
insulation,0.19883280661446773,0.19883280661446773
premium insulation,0.19883280661446773,0.19883280661446773
